微单倍型名称	染色体位置	基因座	上游引物开始位置	上游引物终止位置	下游引物开始位置	下游引物终止位置
mh01FGI-001	1	None	4167333	4167355	4167622	4167600
mh01FGI-002	1	None	204664124	204664145	204664433	204664412
mh01FGI-003	1	None	161985815	161985838	161986068	161986045
mh01FGI-004	1	None	18396146	18396169	18396482	18396460
mh02FGI-007	2	None	227227634	227227658	227227830	227227808
mh03FGI-010	3	None	131927058	131927083	131927352	131927330
mh09FGI-016	9	None	132987049	132987072	132987270	132987247
mh09FGI-017	9	None	680686	680711	680881	680857
mh09FGI-018	9	None	101207379	101207403	101207629	101207607
mh09FGI-019	9	None	83193660	83193684	83193946	83193924
mh11FGI-023	11	None	79236518	79236539	79236756	79236733
mh12FGI-024	12	None	118451619	118451645	118451892	118451870
mh12FGI-025	12	None	30017252	30017271	30017505	30017483
mh13FGI-027	13	None	46291767	46291792	46292064	46292040
mh13FGI-028	13	None	53486621	53486642	53486907	53486885
mh13FGI-029	13	None	66138517	66138540	66138735	66138713
mh13FGI-030	13	None	23191367	23191390	23191602	23191579
mh15FGI-033	15	None	46578460	46578483	46578751	46578728
mh16FGI-035	16	None	7159154	7159175	7159417	7159394
mh16FGI-036	16	None	7537614	7537637	7537891	7537868
mh17FGI-037	17	None	45394927	45394949	45395224	45395201
mh17FGI-039	17	None	54864962	54864985	54865224	54865202
mh18FGI-041	18	None	78329858	78329880	78330009	78329983
mh19FGI-043	19	None	22546637	22546660	22547026	22547000
mh20FGI-045	20	None	50227672	50227699	50227897	50227872
mh20FGI-046	20	None	16532583	16532606	16532814	16532790
mh21FGI-047	21	None	26410618	26410640	26410882	26410860
mh21FGI-048	21	None	45294586	45294607	45294865	45294844
mh01FGI-053	1	None	1551410	1551432	1551718	1551696
mh02FGI-054	2	None	160222820	160222842	160223031	160223008
mh04FGI-061	4	None	3664573	3664597	3664868	3664847
mh05FGI-063	5	None	38881305	38881328	38881570	38881547
mh05FGI-067	5	None	2447906	2447928	2448139	2448117
mh09FGI-072	9	None	16795027	16795050	16795312	16795289
mh11FGI-079	11	None	100009408	100009431	100009703	100009683
mh13FGI-080	13	None	110154263	110154288	110154532	110154509
mh15FGI-081	15	None	52192709	52192732	52192941	52192918
mh16FGI-083	16	None	87447720	87447741	87447881	87447858
mh16FGI-084	16	None	81936698	81936718	81936970	81936944
mh17FGI-085	17	None	33120079	33120103	33120376	33120353
mh22FGI-089	22	None	44367685	44367708	44367922	44367901
mh22FGI-090	22	None	19963571	19963590	19963869	19963848
mh01FGI-091	1	None	85240051	85240076	85240169	85240146
mh01FGI-092	1	None	55558920	55558942	55559147	55559125
mh01FGI-093	1	None	1594543	1594568	1594724	1594703
mh01FGI-095	1	None	230684774	230684798	230684946	230684926
mh01FGI-096	1	None	235603588	235603612	235603765	235603741
mh01FGI-098	1	None	80236330	80236355	80236469	80236446
mh02FGI-107	2	None	240602395	240602417	240602618	240602595
mh02FGI-108	2	None	79025694	79025717	79025986	79025963
mh02FGI-109	2	None	102475979	102476004	102476215	102476193
mh02FGI-110	2	None	137845666	137845692	137845836	137845814
mh03FGI-112	3	None	196652988	196653013	196653234	196653210
mh03FGI-114	3	None	62047982	62048006	62048271	62048247
mh03FGI-115	3	None	134173926	134173949	134174109	134174086
mh04FGI-116	4	None	7402789	7402811	7402975	7402953
mh04FGI-117	4	None	154873415	154873438	154873512	154873490
mh04FGI-118	4	None	4324655	4324679	4324950	4324928
mh04FGI-119	4	None	8778163	8778185	8778530	8778508
mh04FGI-120	4	None	10350829	10350852	10350951	10350928
