Kin	ID	I	T	O	MZ	PO	FS	HS	C1	C2
NA	Dinlaw__GrandM	21	126	85	4.0854E-2347	2.1014E-674	7.7543E-50	8.4790E-16	4.9033E3	3.5612E0
PO	Dinlaw__GrandS1	62	168	2	5.2597E-1304	2.7153E41	1.6422E43	1.3185E39	1.4371E24	9.8205E7
PO	Dinlaw__GrandS2	57	172	3	2.6284E-1359	2.0173E29	1.1888E39	4.2280E37	2.7598E23	4.3689E7
NA	Dinlaw__Son	22	127	83	1.5156E-2321	2.3562E-619	1.8534E-44	5.6392E-12	5.2034E5	1.5668E1
NA	GrandM__Dinlaw	21	126	85	4.0854E-2347	2.1014E-674	7.7543E-50	8.4790E-16	4.9033E3	3.5612E0
HS	GrandM__GrandS1	46	151	35	2.1273E-1716	1.2006E-216	1.1948E3	8.6182E14	2.5017E14	1.9122E4
HS	GrandM__GrandS2	43	162	27	2.3044E-1678	4.9178E-158	2.9933E4	1.4758E16	5.9103E13	1.2395E4
PO	GrandM__Son	67	163	2	2.7581E-1259	4.0042E44	9.7589E42	2.4337E37	4.3631E22	9.2887E6
PO	GrandS1__Dinlaw	62	168	2	5.2597E-1304	2.7153E41	1.6422E43	1.3185E39	1.4371E24	9.8205E7
HS	GrandS1__GrandM	46	151	35	2.1273E-1716	1.2006E-216	1.1948E3	8.6182E14	2.5017E14	1.9122E4
FS	GrandS1__GrandS2	87	127	18	1.0228E-1196	4.6586E-102	1.0711E42	8.1302E29	1.4496E21	5.8884E6
PO	GrandS1__Son	56	175	1	1.5040E-1346	1.7466E45	4.8737E37	1.4779E35	1.9880E21	3.8635E6
PO	GrandS2__Dinlaw	57	172	3	2.6284E-1359	2.0173E29	1.1888E39	4.2280E37	2.7598E23	4.3689E7
HS	GrandS2__GrandM	43	162	27	2.3044E-1678	4.9178E-158	2.9933E4	1.4758E16	5.9103E13	1.2395E4
FS	GrandS2__GrandS1	87	127	18	1.0228E-1196	4.6586E-102	1.0711E42	8.1302E29	1.4496E21	5.8884E6
PO	GrandS2__Son	57	173	2	8.9431E-1349	2.3350E38	5.6631E34	2.3214E33	1.5833E20	1.5522E6
NA	Son__Dinlaw	22	127	83	1.5156E-2321	2.3562E-619	1.8534E-44	5.6392E-12	5.2034E5	1.5668E1
PO	Son__GrandM	67	163	2	2.7581E-1259	4.0042E44	9.7589E42	2.4337E37	4.3631E22	9.2887E6
PO	Son__GrandS1	56	175	1	1.5040E-1346	1.7466E45	4.8737E37	1.4779E35	1.9880E21	3.8635E6
PO	Son__GrandS2	57	173	2	8.9431E-1349	2.3350E38	5.6631E34	2.3214E33	1.5833E20	1.5522E6
